CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<noAPS,L_bankssts,-0.16,0,-0.33,0.01,,,0.07,
APS<noAPS,L_caudalanteriorcingulate,0.04,0,-0.13,0.21,,,0.61,
APS<noAPS,L_caudalmiddlefrontal,-0.05,0,-0.22,0.12,,,0.57,
APS<noAPS,L_cuneus,-0.13,0,-0.3,0.04,,,0.14,
APS<noAPS,L_entorhinal,0.06,0,-0.11,0.23,,,0.50,
APS<noAPS,L_fusiform,-0.14,0,-0.31,0.03,,,0.10,
APS<noAPS,L_inferiorparietal,-0.14,0,-0.31,0.03,,,0.10,
APS<noAPS,L_inferiortemporal,0.04,0,-0.13,0.21,,,0.63,
APS<noAPS,L_isthmuscingulate,0.02,0,-0.15,0.19,,,0.80,
APS<noAPS,L_lateraloccipital,-0.13,0,-0.3,0.04,,,0.13,
APS<noAPS,L_lateralorbitofrontal,-0.09,0,-0.26,0.08,,,0.28,
APS<noAPS,L_lingual,-0.16,0,-0.33,0.01,,,0.06,
APS<noAPS,L_medialorbitofrontal,-0.01,0,-0.18,0.16,,,0.89,
APS<noAPS,L_middletemporal,-0.04,0,-0.21,0.13,,,0.61,
APS<noAPS,L_parahippocampal,-0.10,0,-0.27,0.07,,,0.23,
APS<noAPS,L_paracentral,-0.18,0,-0.35,-0.01,,,0.04,
APS<noAPS,L_parsopercularis,-0.10,0,-0.27,0.07,,,0.24,
APS<noAPS,L_parsorbitalis,-0.09,0,-0.26,0.08,,,0.30,
APS<noAPS,L_parstriangularis,0.04,0,-0.13,0.2,,,0.68,
APS<noAPS,L_pericalcarine,-0.19,0,-0.36,-0.02,,,0.03,
APS<noAPS,L_postcentral,0.02,0,-0.15,0.19,,,0.78,
APS<noAPS,L_posteriorcingulate,-0.03,0,-0.2,0.14,,,0.75,
APS<noAPS,L_precentral,-0.05,0,-0.22,0.11,,,0.53,
APS<noAPS,L_precuneus,-0.22,0,-0.39,-0.05,,,0.01,
APS<noAPS,L_rostralanteriorcingulate,0.04,0,-0.13,0.21,,,0.67,
APS<noAPS,L_rostralmiddlefrontal,-0.05,0,-0.22,0.12,,,0.54,
APS<noAPS,L_superiorfrontal,-0.07,0,-0.24,0.1,,,0.44,
APS<noAPS,L_superiorparietal,-0.14,0,-0.3,0.03,,,0.12,
APS<noAPS,L_superiortemporal,-0.07,0,-0.24,0.1,,,0.41,
APS<noAPS,L_supramarginal,0,0,-0.16,0.17,,,0.97,
APS<noAPS,L_frontalpole,-0.10,0,-0.27,0.06,,,0.23,
APS<noAPS,L_temporalpole,0.01,0,-0.16,0.18,,,0.90,
APS<noAPS,L_transversetemporal,-0.01,0,-0.18,0.16,,,0.88,
APS<noAPS,L_insula,0,0,-0.16,0.17,,,0.97,
APS<noAPS,R_bankssts,-0.08,0,-0.25,0.09,,,0.37,
APS<noAPS,R_caudalanteriorcingulate,-0.14,0,-0.31,0.03,,,0.11,
APS<noAPS,R_caudalmiddlefrontal,-0.19,0,-0.36,-0.02,,,0.03,
APS<noAPS,R_cuneus,-0.15,0,-0.32,0.02,,,0.08,
APS<noAPS,R_entorhinal,0.08,0,-0.09,0.25,,,0.33,
APS<noAPS,R_fusiform,-0.05,0,-0.22,0.12,,,0.54,
APS<noAPS,R_inferiorparietal,-0.18,0,-0.35,-0.01,,,0.04,
APS<noAPS,R_inferiortemporal,0.01,0,-0.16,0.18,,,0.91,
APS<noAPS,R_isthmuscingulate,-0.02,0,-0.19,0.15,,,0.84,
APS<noAPS,R_lateraloccipital,-0.04,0,-0.21,0.14,,,0.69,
APS<noAPS,R_lateralorbitofrontal,-0.12,0,-0.29,0.05,,,0.17,
APS<noAPS,R_lingual,-0.06,0,-0.24,0.11,,,0.46,
APS<noAPS,R_medialorbitofrontal,-0.10,0,-0.27,0.07,,,0.23,
APS<noAPS,R_middletemporal,-0.09,0,-0.26,0.08,,,0.30,
APS<noAPS,R_parahippocampal,-0.06,0,-0.23,0.11,,,0.50,
APS<noAPS,R_paracentral,-0.19,0,-0.36,-0.02,,,0.03,
APS<noAPS,R_parsopercularis,-0.08,0,-0.25,0.09,,,0.36,
APS<noAPS,R_parsorbitalis,0.10,0,-0.07,0.27,,,0.26,
APS<noAPS,R_parstriangularis,-0.05,0,-0.22,0.12,,,0.55,
APS<noAPS,R_pericalcarine,-0.17,0,-0.34,0.01,,,0.06,
APS<noAPS,R_postcentral,-0.05,0,-0.22,0.12,,,0.57,
APS<noAPS,R_posteriorcingulate,-0.06,0,-0.23,0.11,,,0.50,
APS<noAPS,R_precentral,-0.15,0,-0.32,0.02,,,0.08,
APS<noAPS,R_precuneus,-0.07,0,-0.24,0.1,,,0.01,
APS<noAPS,R_rostralanteriorcingulate,-0.06,0,-0.22,0.11,,,0.52,
APS<noAPS,R_rostralmiddlefrontal,-0.02,0,-0.19,0.15,,,0.81,
APS<noAPS,R_superiorfrontal,-0.11,0,-0.28,0.06,,,0.21,
APS<noAPS,R_superiorparietal,-0.20,0,-0.36,-0.03,,,0.02,
APS<noAPS,R_superiortemporal,0.07,0,-0.1,0.24,,,0.40,
APS<noAPS,R_supramarginal,-0.05,0,-0.22,0.12,,,0.56,
APS<noAPS,R_frontalpole,-0.03,0,-0.2,0.15,,,0.77,
APS<noAPS,R_temporalpole,-0.05,0,-0.22,0.12,,,0.59,
APS<noAPS,R_transversetemporal,0.05,0,-0.12,0.22,,,0.54,
APS<noAPS,R_insula,0.01,0,-0.16,0.18,,,0.91,
